carat,cut,color,clarity,depth,table,x,y,z,carat_log,table_log,PredictedPrice
0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,0.2546422183735807,4.110873864173311,416.5265253239771
0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72,0.2776317365982795,4.02535169073515,495.841256894755
0.7,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63,0.5306282510621704,4.0943445622221,339.3518877931993
0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61,0.262364264467491,4.127134385045092,325.6319677379798
0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67,0.262364264467491,4.060443010546419,419.876036228469
0.3,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71,0.262364264467491,4.060443010546419,441.2820981697655
0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,0.3001045924503381,4.060443010546419,668.790587564653
0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69,0.262364264467491,4.060443010546419,667.6261902388461
0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96,0.3506568716131694,4.0943445622221,587.4544853717554
0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73,0.2776317365982795,4.030694535145645,704.7748244321566
0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73,0.27002713721306015,4.060443010546419,578.6750885421287
0.31,Premium,G,SI1,61.8,57.0,4.35,4.32,2.68,0.27002713721306015,4.060443010546419,561.2726721611107
0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7,0.262364264467491,4.04305126783455,493.6029051206943
0.3,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68,0.262364264467491,4.0943445622221,490.5006018357222
0.3,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67,0.262364264467491,4.060443010546419,482.7494501678769
0.3,Good,H,SI1,63.7,57.0,4.28,4.26,2.72,0.262364264467491,4.060443010546419,487.0104558998217
0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,0.3220834991691133,4.04305126783455,516.3747446761186
0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73,0.2776317365982795,4.07753744390572,462.37411213692593
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,0.5306282510621704,4.060443010546419,2611.997637904155
0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52,0.6205764877251099,4.248495242049359,2919.552512902426
0.7,Ideal,G,SI1,61.6,56.0,5.7,5.67,3.5,0.5306282510621704,4.04305126783455,2200.246454609659
0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56,0.5364933705145685,4.060443010546419,2812.2608339174913
0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,0.5766133643039938,4.04305126783455,2233.736933534835
0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38,0.5306282510621704,4.07753744390572,2642.209566933869
0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4,0.5306282510621704,4.143134726391533,2622.611789112591
0.96,Fair,F,SI2,66.3,62.0,6.27,5.95,4.07,0.6729444732424258,4.143134726391533,3543.2014142869502
0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56,0.5481214085096876,4.0943445622221,2634.890115391069
0.7,Premium,H,SI1,61.5,58.0,5.97,5.93,3.66,0.5306282510621704,4.07753744390572,2549.526828712871
0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,0.5596157879354227,4.007333185232471,2909.217460537689
0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59,0.5538851132264376,4.02535169073515,2493.831248647941
0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,0.5596157879354227,4.07753744390572,2809.6226647628455
0.8,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72,0.5877866649021191,4.04305126783455,2787.432500934279
0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63,0.5596157879354227,4.02535169073515,2625.760324102305
0.8,Premium,G,SI1,63.0,59.0,5.9,5.81,3.69,0.5877866649021191,4.0943445622221,2750.89424310645
0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61,0.5538851132264376,4.02535169073515,2667.0350804487734
0.7,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.6,0.5306282510621704,4.060443010546419,2740.1754108585737
0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35,0.4637340162321401,4.02535169073515,2520.116402070793
0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67,0.5877866649021191,4.060443010546419,2594.49171233972
0.9,Ideal,I,VS2,63.0,58.0,6.16,6.12,3.87,0.6418538861723948,4.07753744390572,3330.786511102429
0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59,0.5538851132264376,4.0943445622221,2401.851077067376
0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6,0.5481214085096876,4.04305126783455,2970.8727005569735
0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62,0.5481214085096876,3.9889840465642745,2993.5365508114583
0.8,Premium,G,SI2,61.7,58.0,5.98,5.94,3.68,0.5877866649021191,4.07753744390572,2379.391453041092
0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58,0.5364933705145685,4.007333185232471,2657.9387567381887
0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49,0.5306282510621704,4.07753744390572,2845.7209106889886
0.8,Ideal,F,SI2,59.9,57.0,6.01,6.07,3.62,0.5877866649021191,4.060443010546419,2577.2394463467326
0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,0.5364933705145685,4.04305126783455,2268.584881423755
0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,0.5306282510621704,4.1588830833596715,2545.5820793401303
0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58,0.5306282510621704,4.060443010546419,2312.5003330096565
0.7,Fair,G,VS2,65.3,55.0,5.63,5.58,3.66,0.5306282510621704,4.02535169073515,2345.2612004933876
0.7,Premium,F,VS2,61.6,60.0,5.65,5.59,3.46,0.5306282510621704,4.110873864173311,2473.1737777152684
0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7,0.6471032420585384,4.04305126783455,2661.557736731271
0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,0.4762341789963716,4.060443010546419,2803.320023085706
0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,0.6471032420585384,4.060443010546419,2481.5479021613532
0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95,0.6471032420585384,4.110873864173311,2449.15070222527
0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64,0.5709795465857378,4.04305126783455,2738.222733690888
0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6,0.5364933705145685,4.07753744390572,2656.0856607297837
0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53,0.5306282510621704,4.110873864173311,2705.9069487757906
0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61,0.5709795465857378,4.110873864173311,2857.837178377822
0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37,0.48858001481867097,4.110873864173311,2935.693650071621
0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53,0.5364933705145685,4.0943445622221,2877.5653665753143
0.7,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61,0.5306282510621704,4.060443010546419,2419.5575946341487
0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.5,0.5364933705145685,4.04305126783455,2653.6696501812316
0.7,Very Good,F,VS1,61.7575931301403,57.0,5.8,5.87,3.5,0.5306282510621704,4.060443010546419,2989.318922716246
0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54,0.5364933705145685,4.02535169073515,2251.124176863301
0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,0.5306282510621704,4.174387269895637,2568.750523859454
0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52,0.5364933705145685,4.0943445622221,2449.4953728517125
0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52,0.5481214085096876,4.04305126783455,2738.91826240691
0.7,Very Good,D,SI1,61.1,57.0,5.66,5.73,3.48,0.5306282510621704,4.060443010546419,2447.640761881123
0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57,0.5538851132264376,4.04305126783455,1968.184346648126
0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,0.5364933705145685,4.110873864173311,2832.7629768133406
0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56,0.5481214085096876,4.0943445622221,2736.813673980156
0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62,0.5653138090500605,4.060443010546419,2477.0785978262625
0.71,Ideal,F,SI1,60.7,56.0,5.77,5.8,3.51,0.5364933705145685,4.04305126783455,2484.676886367948
0.73,Premium,G,VS2,61.7575931301403,58.0,5.87,5.82,3.55,0.5481214085096876,4.07753744390572,2772.809737169329
0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55,0.5481214085096876,4.07753744390572,2834.1825079048513
0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54,0.5481214085096876,4.060443010546419,2505.8212344244043
0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49,0.5481214085096876,4.0943445622221,2739.749235910019
0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51,0.5423242908253617,4.04305126783455,2808.7424073256784
0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58,0.5481214085096876,4.110873864173311,2634.014705480917
0.7,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56,0.5306282510621704,4.060443010546419,2693.9592664568477
0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68,0.5822156198526637,4.02535169073515,2561.225260308945
0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54,0.5481214085096876,4.0943445622221,3185.5692664330095
0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67,0.5877866649021191,4.060443010546419,2579.867945271424
0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33,0.4574248470388754,4.02535169073515,2408.627365885827
0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.3,0.4574248470388754,4.04305126783455,2443.4298572661537
0.7,Premium,D,VS2,58.0,62.0,5.87,5.78,3.38,0.5306282510621704,4.143134726391533,2907.7309642340474
1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13,0.7747271675523681,4.127134385045092,2549.736986775179
0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35,0.4700036292457356,4.02535169073515,2263.5604063650662
0.7,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58,0.5306282510621704,4.02535169073515,2580.690801934443
0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79,0.6043159668533294,4.007333185232471,2443.7494302133587
0.74,Very Good,F,SI1,61.3,61.0,5.8,5.84,3.57,0.5538851132264376,4.127134385045092,2646.0245471944377
0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,0.5423242908253617,4.050044303325521,2538.9688863925644
0.71,Premium,E,VS2,62.7,58.0,5.74,5.68,3.58,0.5364933705145685,4.07753744390572,2919.567009916544
0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,0.5364933705145685,4.060443010546419,2968.4718344561115
0.54,Ideal,E,SI1,61.5,57.0,5.24,5.26,3.23,0.43178241642553783,4.060443010546419,1584.3897811575896
0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55,0.5423242908253617,4.04305126783455,2326.137704030056
0.72,Ideal,G,SI1,61.7575931301403,56.0,5.79,5.82,3.53,0.5423242908253617,4.04305126783455,2388.5049006386225
0.7,Good,G,VS2,59.7,60.5,5.8,5.84,3.47,0.5306282510621704,4.119037174812473,2520.045717248673
0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5,0.5364933705145685,4.04305126783455,2323.140142704329
0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57,0.5306282510621704,4.07753744390572,3192.729467967675
0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53,0.5364933705145685,4.07753744390572,2635.7430254353103
0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56,0.5364933705145685,4.060443010546419,2648.243934632989
0.71,Ideal,G,VS2,63.8,58.0,5.61,5.64,3.59,0.5364933705145685,4.07753744390572,2583.159078192102
0.71,Good,F,VS2,57.8,57.0,5.87,5.9,3.4,0.5364933705145685,4.060443010546419,2585.8201414670543
0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53,0.5306282510621704,4.02535169073515,2798.8239043389176
0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46,0.5306282510621704,4.0943445622221,2454.1905570509143
0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54,0.5306282510621704,4.0943445622221,2435.906525010763
0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48,0.5306282510621704,4.060443010546419,2370.9960378726305
0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51,0.5306282510621704,4.07753744390572,2510.635039381011
0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52,0.5306282510621704,4.060443010546419,2570.6994898551543
0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43,0.5306282510621704,4.1588830833596715,2419.7097065395205
0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49,0.5306282510621704,4.07753744390572,2385.648448429235
0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,0.5306282510621704,4.07753744390572,2450.5690167510083
0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51,0.5306282510621704,4.110873864173311,2291.3855856429495
0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19,0.41871033485818504,4.02535169073515,2074.6337425285883
0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55,0.5481214085096876,4.04305126783455,2410.2996935787214
0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59,0.5538851132264376,4.04305126783455,2811.8617728541312
0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,0.5306282510621704,4.060443010546419,2643.7285913475043
0.77,Premium,G,VS2,61.2,58.0,5.9,5.93,3.62,0.5709795465857378,4.07753744390572,2990.1884954036905
0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54,0.5364933705145685,4.007333185232471,2691.0283665219076
0.74,Ideal,G,VS1,61.5,55.0,5.81,5.86,3.59,0.5538851132264376,4.02535169073515,3031.7214864903326
0.7,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49,0.5306282510621704,4.0943445622221,2650.418316792382
0.7,Premium,F,I1,61.8,60.0,6.39,6.36,3.94,0.5306282510621704,4.110873864173311,2771.806910104158
0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64,0.5709795465857378,4.04305126783455,2370.7210212151367
0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64,0.5766133643039938,4.04305126783455,2500.7059133677662
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,0.5423242908253617,4.1588830833596715,2606.706409869298
0.53,Very Good,D,VVS2,57.5,57.0,5.34,5.37,3.08,0.4252677354043441,4.060443010546419,2084.1676250743867
0.7,Good,G,VS1,57.2,62.0,5.81,5.77,3.31,0.5306282510621704,4.143134726391533,2393.4980325158735
0.7,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51,0.5306282510621704,4.110873864173311,2797.518786836684
0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63,0.5596157879354227,4.07753744390572,2403.150850144526
0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,0.5423242908253617,4.060443010546419,2676.201629156472
0.72,Premium,D,SI1,61.7575931301403,59.0,5.73,5.69,3.58,0.5423242908253617,4.0943445622221,2724.256796790483
0.7,Premium,D,SI1,62.8,57.0,5.68,5.66,3.56,0.5306282510621704,4.060443010546419,2590.354097924857
0.84,Fair,G,SI1,55.1,67.0,6.39,6.2,3.47,0.6097655716208943,4.219507705176107,2885.4294253372145
0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.6,0.5596157879354227,4.0943445622221,2756.504898896663
0.52,Ideal,F,IF,61.7575931301403,55.0,5.14,5.18,3.21,0.41871033485818504,4.02535169073515,2236.721811355351
0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,0.5423242908253617,4.007333185232471,2742.172751972959
0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75,0.5822156198526637,4.04305126783455,3056.433260800052
0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61,0.5423242908253617,4.07753744390572,2790.760855280146
0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18,0.412109650826833,4.060443010546419,2001.1017888329145
0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41,0.49469624183610705,4.04305126783455,2682.544665548082
0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48,0.5306282510621704,4.110873864173311,2908.463661901072
0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72,0.6043159668533294,4.110873864173311,3024.6798017181027
0.76,Ideal,I,VVS2,61.8,56.0,5.85,5.87,3.62,0.5653138090500605,4.04305126783455,2817.812393098906
0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53,0.5709795465857378,4.174387269895637,3109.6789231714724
0.71,Ideal,F,SI1,62.5,55.0,5.71,5.65,3.55,0.5364933705145685,4.02535169073515,2424.6305275913137
1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03,0.6981347220709844,4.07753744390572,2475.6047431929514
1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93,0.6981347220709844,4.0943445622221,3033.7726278343202
0.7,Good,F,SI1,64.2,52.0,5.81,5.77,3.72,0.5306282510621704,3.970291913552122,2702.44585762759
0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.7,0.5653138090500605,4.007333185232471,2752.2377314635846
0.76,Premium,G,SI1,60.4,58.0,5.92,5.94,3.58,0.5653138090500605,4.07753744390572,2597.6714059113906
0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61,0.5653138090500605,4.07753744390572,2790.6000825810056
1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09,0.7178397931503169,4.04305126783455,2865.641665440985
0.7,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53,0.5306282510621704,4.04305126783455,2548.1852023142123
0.55,Ideal,G,SI1,60.9,57.0,5.28,5.3,3.22,0.4382549309311553,4.060443010546419,1448.5364185543651
0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,0.5933268452777344,4.127134385045092,2265.7916455320023
0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38,0.48858001481867097,4.060443010546419,2612.2977452941022
0.63,Premium,E,VVS1,60.9,60.0,5.55,5.52,3.37,0.48858001481867097,4.110873864173311,2960.0752698024226
0.77,Premium,H,VS1,61.7575931301403,60.0,5.9,5.88,3.61,0.5709795465857378,4.110873864173311,2867.1791848943794
0.7,Fair,G,SI2,65.8,59.0,6.41,6.27,4.18,0.5306282510621704,4.0943445622221,4091.191740000121
0.64,Ideal,G,IF,61.3,56.0,5.54,5.58,3.41,0.49469624183610705,4.04305126783455,3035.199793302647
0.76,Ideal,I,VVS1,58.8,59.0,6.0,5.94,3.51,0.5653138090500605,4.0943445622221,3042.4994342039035
0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76,0.6043159668533294,4.02535169073515,2820.2969283711277
0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53,0.5364933705145685,4.0943445622221,2909.474732263037
0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,0.6259384308664953,4.039536325727106,2712.0098527965765
0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58,0.5481214085096876,4.04305126783455,2670.300570821561
0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46,0.5364933705145685,4.0943445622221,2533.8495431242845
0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54,0.5364933705145685,4.0943445622221,2507.6744422791544
0.7,Ideal,E,SI1,61.3,55.0,5.72,5.77,3.52,0.5306282510621704,4.02535169073515,2517.9884745037716
0.7,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53,0.5306282510621704,4.110873864173311,2891.335330852023
0.7,Premium,F,VS1,60.7,60.0,5.78,5.75,3.5,0.5306282510621704,4.110873864173311,2954.8729654918816
0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51,0.5653138090500605,4.060443010546419,2938.262740151561
0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,0.5306282510621704,4.04305126783455,2994.9715783364627
0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65,0.5822156198526637,4.060443010546419,2838.731566040378
0.7,Very Good,E,VS2,62.9,57.0,5.66,5.69,3.57,0.5306282510621704,4.060443010546419,2797.538393827857
0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61,0.5306282510621704,4.02535169073515,2677.5421683162153
0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,0.5653138090500605,4.04305126783455,2351.225096601521
0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6,0.5481214085096876,4.02535169073515,2430.3405474767774
0.79,Very Good,E,SI1,61.7575931301403,56.0,5.91,5.86,3.72,0.5822156198526637,4.04305126783455,3099.865181617212
0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53,0.5364933705145685,4.04305126783455,2923.069925865871
0.81,Premium,I,VVS2,61.9,60.0,5.91,5.86,3.64,0.5933268452777344,4.110873864173311,2889.7423466219725
0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72,0.5933268452777344,4.02535169073515,2593.3278198334324
0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48,0.5423242908253617,4.110873864173311,2762.1835739722837
0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54,0.5423242908253617,4.110873864173311,2215.536435059737
0.72,Premium,I,IF,63.0,57.0,5.72,5.7,3.6,0.5423242908253617,4.060443010546419,2921.6873620986576
0.81,Ideal,H,VS2,58.0,59.0,6.17,6.13,3.57,0.5933268452777344,4.0943445622221,3090.1678270822586
0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58,0.5423242908253617,4.060443010546419,2588.149111545934
1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83,0.6931471805599453,4.110873864173311,2971.817023141621
0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62,0.5481214085096876,4.07753744390572,2573.1614856015412
0.81,Very Good,H,SI2,61.3,59.0,5.94,6.01,3.66,0.5933268452777344,4.0943445622221,2104.9897365978372
0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67,0.5933268452777344,4.110873864173311,3400.3336672594432
0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57,0.5364933705145685,4.110873864173311,2668.6810657427677
0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,0.5364933705145685,4.07753744390572,2614.586444991836
0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52,0.5364933705145685,4.110873864173311,2637.895791535774
0.57,Ideal,F,SI1,61.9,55.0,5.34,5.35,3.31,0.4510756193602166,4.02535169073515,1684.322519893744
0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55,0.5423242908253617,4.07753744390572,2664.3127558342344
0.74,Ideal,H,VS1,61.8,58.0,5.77,5.81,3.58,0.5538851132264376,4.07753744390572,2688.7564280486804
0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,0.5538851132264376,4.04305126783455,2701.128952014291
0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44,0.5306282510621704,4.204692619390966,3109.6525243957794
0.8,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67,0.5877866649021191,4.060443010546419,2586.539441550883
0.8,Very Good,G,VS2,63.4,60.0,5.92,5.82,3.72,0.5877866649021191,4.110873864173311,3242.239234955934
0.77,Ideal,I,SI1,61.5,59.0,5.87,5.91,3.62,0.5709795465857378,4.0943445622221,2139.25795396206
0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,0.598836501088704,4.007333185232471,2690.8350890835036
0.78,Ideal,G,SI1,61.9,57.0,5.91,5.86,3.64,0.5766133643039938,4.060443010546419,2742.6443109334946
0.6,Ideal,G,IF,61.6,56.0,5.43,5.46,3.35,0.4700036292457356,4.04305126783455,2734.8706075127743
0.9,Good,I,SI2,62.2,59.0,6.07,6.11,3.79,0.6418538861723948,4.0943445622221,2098.888804788773
0.7,Ideal,E,VS1,62.2,58.0,5.6,5.66,3.5,0.5306282510621704,4.07753744390572,2861.517346471026
0.9,Very Good,I,SI2,61.3,56.0,6.17,6.23,3.8,0.6418538861723948,4.04305126783455,2268.8032641994755
0.83,Ideal,G,SI1,62.3,57.0,5.99,6.08,3.76,0.6043159668533294,4.060443010546419,3192.1929376751855
0.83,Ideal,G,SI1,61.8,57.0,6.03,6.07,3.74,0.6043159668533294,4.060443010546419,3192.6886918568202
0.83,Very Good,H,SI1,62.5,59.0,5.95,6.02,3.74,0.6043159668533294,4.0943445622221,2698.257646356731
0.74,Premium,G,VS1,62.9,60.0,5.74,5.68,3.59,0.5538851132264376,4.110873864173311,2865.8836277937066
